worker_id,w_name,Year_of_starting_work,role
834,Tina,2010,Planter
857,Alice,2007,Planter
624,Eve,2005,Planter
135,Mona,1998,Planter
520,Liam,2019,Planter
816,Alice,2004,Planter
714,Liam,2004,Planter
493,Quinn,1990,Planter
385,Eve,2012,Planter
395,Grace,1991,Harvester
272,Rachel,2012,Planter
358,Quinn,2024,Harvester
292,Nancy,1990,Planter
958,Isaac,1995,Planter
354,Hannah,1994,Harvester
491,Isaac,1993,Harvester
860,Oscar,1993,Harvester
523,Peter,2009,Planter
996,Alice,2018,Harvester
567,Julia,1996,Harvester
554,Grace,2011,Harvester
370,Rachel,2019,Harvester
735,Quinn,1994,Planter
243,Nancy,1999,Harvester
600,Grace,2000,Harvester
396,Bob,2018,Harvester
115,Frank,2016,Harvester
293,Charlie,2022,Harvester
465,Alice,2014,Planter
828,Charlie,1999,Planter
851,Quinn,2004,Planter
585,Isaac,2007,Planter
989,Grace,2017,Harvester
570,Nancy,2007,Planter
657,Kevin,2024,Planter
418,David,2003,Harvester
832,Nancy,1999,Harvester
103,Kevin,1999,Planter
967,Oscar,2002,Planter
482,Charlie,2014,Planter
528,Liam,1991,Planter
511,Eve,2009,Planter
598,Isaac,2022,Planter
607,Julia,2001,Planter
405,Kevin,2023,Planter
198,Alice,2005,Harvester
130,Frank,2021,Harvester
337,Grace,2007,Planter
363,Oscar,2002,Planter
190,Tina,2021,Planter
717,Julia,1995,Planter
294,Liam,2021,Planter
492,Rachel,2005,Planter
547,Liam,2006,Harvester
499,Nancy,2013,Harvester
145,Eve,1997,Planter
122,Mona,2004,Harvester
915,David,2018,Harvester
401,Kevin,2021,Planter
510,Liam,2007,Harvester
883,David,1998,Planter
346,David,1992,Harvester
411,Hannah,1990,Planter
700,Eve,2021,Harvester
612,Bob,2012,Harvester
615,Hannah,2024,Harvester
571,Bob,2011,Harvester
654,Steve,2015,Harvester
321,Mona,2020,Planter
964,Julia,2020,Planter
201,Alice,2012,Planter
212,Frank,2009,Planter
889,Mona,2008,Harvester
557,Nancy,2023,Planter
356,Kevin,2010,Harvester
416,Peter,2005,Harvester
376,Bob,2005,Planter
288,Grace,2017,Harvester
711,Quinn,2020,Harvester
407,Tina,2008,Harvester
217,Tina,2000,Planter
708,Quinn,1997,Harvester
979,Steve,2014,Planter
343,Nancy,2006,Planter
799,Bob,2017,Planter
342,Steve,1998,Harvester
290,Julia,2004,Harvester
968,Rachel,2024,Planter
730,Peter,2014,Harvester
371,Alice,2018,Harvester
107,Kevin,2008,Planter
505,Steve,2010,Harvester
218,Tina,2022,Harvester
673,Liam,1998,Planter
384,Kevin,2020,Harvester
223,Alice,1996,Planter
648,Kevin,2021,Planter
263,Isaac,1999,Harvester
124,Frank,1993,Harvester
216,Liam,2004,Harvester
647,Kevin,1994,Harvester
847,Isaac,2004,Planter
159,Isaac,2001,Planter
160,Peter,1994,Planter
944,Julia,2014,Harvester
391,Oscar,1992,Harvester
206,Liam,2015,Harvester
240,Tina,2015,Harvester
433,Liam,2017,Harvester
553,Peter,2021,Harvester
100,Isaac,1992,Harvester
486,Julia,1996,Planter
225,Grace,2024,Planter
670,Steve,1994,Harvester
387,Hannah,1991,Planter
118,Frank,1999,Harvester
481,Eve,2008,Harvester
971,Charlie,2023,Planter
962,Grace,2018,Planter
425,Isaac,2022,Planter
892,Charlie,2021,Harvester
858,Alice,2005,Planter
734,Steve,1992,Harvester
494,Tina,2023,Harvester
592,Oscar,2009,Planter
582,Alice,2017,Planter
984,Peter,2010,Harvester
265,Charlie,1996,Planter
375,Liam,2016,Planter
694,Nancy,2004,Planter
722,Eve,2005,Harvester
865,Mona,2023,Harvester
838,David,2003,Planter
345,Isaac,2011,Planter
559,Frank,2005,Planter
428,Mona,2004,Planter
390,Mona,2004,Planter
517,Alice,2013,Planter
599,Bob,2021,Planter
800,David,1999,Harvester
736,Hannah,2004,Harvester
849,Charlie,2014,Planter
146,Grace,1991,Planter
281,Bob,2006,Planter
899,Eve,2019,Harvester
269,Rachel,1998,Planter
602,Julia,2014,Planter
102,David,2022,Planter
725,Liam,1994,Planter
460,Liam,2011,Harvester
566,Liam,1997,Harvester
276,Charlie,1992,Planter
403,Rachel,2010,Harvester
577,Peter,2015,Planter
235,Alice,1997,Harvester
798,Mona,1994,Planter
154,Kevin,2009,Planter
603,Julia,1995,Planter
691,Alice,1996,Harvester
941,Mona,1997,Planter
604,Frank,2001,Harvester
904,Alice,2022,Harvester
663,Peter,2003,Harvester
684,Tina,1992,Planter
649,Julia,1992,Harvester
423,Charlie,2009,Harvester
120,Julia,1993,Planter
161,Charlie,2020,Planter
675,Steve,1997,Harvester
242,Steve,2021,Planter
791,Peter,1997,Harvester
681,David,1993,Harvester
965,Bob,2010,Harvester
207,Grace,2020,Planter
369,Frank,2008,Harvester
389,Julia,1997,Harvester
755,Charlie,2021,Planter
823,Julia,2005,Harvester
796,Charlie,1995,Planter
778,Julia,2000,Planter
785,Tina,2017,Planter
379,Nancy,2005,Harvester
175,Nancy,2006,Harvester
668,Julia,2016,Planter
497,Peter,2018,Planter
350,Frank,1990,Harvester
627,Nancy,2021,Planter
447,Steve,2020,Harvester
539,Charlie,1992,Planter
629,Nancy,2002,Planter
729,Tina,2017,Planter
508,Isaac,2020,Harvester
738,Hannah,1999,Planter
596,Nancy,2010,Harvester
551,Isaac,1996,Harvester
792,Alice,2017,Harvester
706,David,1995,Harvester
737,Rachel,2001,Harvester
613,Steve,1991,Harvester
565,Hannah,2014,Planter
366,Steve,1991,Planter
622,Frank,1993,Planter
659,Hannah,2018,Harvester
509,Steve,2022,Planter
873,Liam,2021,Harvester
695,Liam,1995,Harvester
152,Grace,2018,Harvester
314,Nancy,2001,Planter
680,Peter,2000,Planter
280,Charlie,2003,Planter
529,Hannah,2009,Planter
530,Julia,2000,Harvester
413,David,2012,Harvester
323,Eve,2023,Harvester
127,Peter,2009,Planter
538,Quinn,2010,Harvester
348,Mona,2018,Planter
